id,price_huf,close_to_public_transportation,close_to_campus,size_m2,num_bedrooms,avg_util_cost_huf,furnished,transport_types,description
1005,145000,True,['Medical School'],55,2,30000,True,"['Tram', 'Bus']",Modern apartment with air conditioning and a fully equipped kitchen. Located equidistant between the medical school and the main campus making it great for mixed student couples. The building has an elevator.
1009,200000,True,['Medical School'],80,3,55000,True,['Tram'],Premium luxury apartment in a new building complex near the clinics. Features smart home heating and premium appliances. Ideal for international students looking for high comfort and security.
1014,105000,True,['Medical School'],38,1,22000,True,['Bus'],Compact flat specifically designed for a solitary student. It is located in a quiet cul de sac behind the medical university. The owner speaks fluent English and is very helpful with international tenants.
1019,190000,True,['Medical School'],72,3,48000,True,"['Tram', 'Bus']",Three bedroom apartment facing the inner courtyard so it is completely silent despite being on a busy road near the clinics. Perfect for serious medical students who need absolute silence for studying.
1025,130000,True,['Medical School'],50,2,29000,True,"['Tram', 'Bus']",Practical student flat with easy to clean surfaces and tiled floors. Designed for hassle free living near the hospital. The landlord provides a cleaning service once a month included in the price.
1030,115000,True,['Medical School'],44,1,25000,True,['Bus'],Bright apartment with a south facing balcony that gets sun all day. Located in a quiet side street near the clinics. The kitchen is small but functional.
1035,125000,True,['Medical School'],49,2,28000,False,['Tram'],Empty apartment waiting for furniture. Great for long term tenants who have their own stuff. The location is prime for medical students right across from the theoretical building.
1039,175000,True,['Medical School'],69,2,41000,True,['Tram'],High tech apartment with fast internet pre installed and smart lighting. Ideal for tech savvy medical students. Located within walking distance of the new clinical block.
1044,165000,True,['Medical School'],63,2,38000,True,['Bus'],Renovated civic flat with a modern twist. Includes a walk in closet. Located in a quiet street parallel to the clinics making the commute very short.
1048,150000,True,['Medical School'],59,2,33000,True,['Tram'],Freshly painted apartment with new carpets. Very clean and hypoallergenic. Located near the tram stop that goes directly to the clinics.
1003,220000,True,['Main Campus'],75,3,50000,True,['Tram'],Large newly renovated flat in the city center with direct tram access to the main building. Perfect for a group of friends who want to enjoy the city nightlife while having easy commute options. Includes a huge balcony.
1008,115000,True,['Main Campus'],42,1,26000,False,['Tram'],Unfurnished apartment for those who want to bring their own style. It features beautiful hardwood floors and freshly painted walls. The location is unbeatable just steps away from the main university building.
1011,150000,True,['Main Campus'],60,2,38000,True,['Tram'],Classic civic style apartment with high ceilings and thick walls that keep it cool in summer. Located on the tram line halfway between downtown and the university. Includes a dedicated study corner in each room.
1015,240000,True,['Main Campus'],90,4,60000,True,['Tram'],Massive student apartment with four separate rooms. Ideal for a large group of friends who want to live together near the main campus. Large communal living room and two bathrooms.
1018,165000,True,['Main Campus'],62,2,36000,True,['Tram'],Modern flat in a gated community with a private parking spot included. Very safe and secure. Walking distance to the main university building and the botanical garden.
1021,155000,True,['Main Campus'],58,2,34000,True,['Tram'],Artistic apartment with colorful walls and unique vintage furniture. Located in the heart of the student district with ruin bars and copy shops downstairs. Not for those sensitive to city noise.
1026,170000,True,['Main Campus'],66,2,39000,True,['Tram'],Sophisticated apartment in a historical building with very high ceilings. It feels much larger than it is. Located on the main tram line just two stops from the university main gate.
1029,185000,True,['Main Campus'],70,3,45000,True,['Tram'],Three room apartment perfect for three individual students. Each room has its own lock for privacy. Shared kitchen and bath are spacious. Located right next to the campus library.
